id,division id,division name,game id,date,start time,end time,field id,field name,home id,home name,home score,away id,away name,away score
163602,4274,U5 Girls,,10/14/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,121205,U5G Team Hester/Horgan,,128638,U5G Team Ahmad,
163603,4274,U5 Girls,,10/21/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,120941,U5G Team Rocawich,,128638,U5G Team Ahmad,
163604,4274,U5 Girls,,10/21/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,121205,U5G Team Hester/Horgan,,121206,U5G Team Peltz/Harrell,
163605,4274,U5 Girls,,10/28/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,128638,U5G Team Ahmad,,121205,U5G Team Hester/Horgan,
163606,4274,U5 Girls,,10/28/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,121206,U5G Team Peltz/Harrell,,120941,U5G Team Rocawich,
163986,5022,U5 Coed,,9/9/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,128244,U5C Team Sieber/Chamberlain,,139999,U5C Dubay Friday 5:30,
163987,5022,U5 Coed,,9/9/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,121207,U5C Team Dennis,,132370,U5C Team Rich,
163988,5022,U5 Coed,,9/9/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,121223,U5C Team Marsh,,133783,U5C Team Leach,
163990,5022,U5 Coed,,9/16/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,121207,U5C Team Dennis,,121223,U5C Team Marsh,
163991,5022,U5 Coed,,9/16/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,128244,U5C Team Sieber/Chamberlain,,130721,U5C Team Cosby/Pearson,
163992,5022,U5 Coed,,9/16/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,132370,U5C Team Rich,,133783,U5C Team Leach,
163994,5022,U5 Coed,,9/23/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,121223,U5C Team Marsh,,128244,U5C Team Sieber/Chamberlain,
163995,5022,U5 Coed,,9/23/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,139999,U5C Dubay Friday 5:30,,133783,U5C Team Leach,
163997,5022,U5 Coed,,9/23/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,121207,U5C Team Dennis,,130721,U5C Team Cosby/Pearson,
163998,5022,U5 Coed,,9/30/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,133783,U5C Team Leach,,128244,U5C Team Sieber/Chamberlain,
164000,5022,U5 Coed,,9/30/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,139999,U5C Dubay Friday 5:30,,121207,U5C Team Dennis,
164001,5022,U5 Coed,,9/30/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,130721,U5C Team Cosby/Pearson,,132370,U5C Team Rich,
164002,5022,U5 Coed,,10/7/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,130721,U5C Team Cosby/Pearson,,139999,U5C Dubay Friday 5:30,
164004,5022,U5 Coed,,10/7/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,132370,U5C Team Rich,,121223,U5C Team Marsh,
164005,5022,U5 Coed,,10/7/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,133783,U5C Team Leach,,121207,U5C Team Dennis,
164006,5022,U5 Coed,,10/14/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,139999,U5C Dubay Friday 5:30,,132370,U5C Team Rich,
164007,5022,U5 Coed,,10/14/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,130721,U5C Team Cosby/Pearson,,121223,U5C Team Marsh,
164009,5022,U5 Coed,,10/14/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,128244,U5C Team Sieber/Chamberlain,,121207,U5C Team Dennis,
164010,5022,U5 Coed,,10/21/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,132370,U5C Team Rich,,128244,U5C Team Sieber/Chamberlain,
164011,5022,U5 Coed,,10/21/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,121223,U5C Team Marsh,,139999,U5C Dubay Friday 5:30,
164012,5022,U5 Coed,,10/21/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,133783,U5C Team Leach,,130721,U5C Team Cosby/Pearson,
164015,5022,U5 Coed,,10/28/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,121223,U5C Team Marsh,,121207,U5C Team Dennis,
164016,5022,U5 Coed,,10/28/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,139999,U5C Dubay Friday 5:30,,130721,U5C Team Cosby/Pearson,
164017,5022,U5 Coed,,10/28/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,128244,U5C Team Sieber/Chamberlain,,133783,U5C Team Leach,
164020,5022,U5 Coed,,11/4/2023,12:30,13:30,454842,Robious Middle School 9C 3v3,132370,U5C Team Rich,,128244,U5C Team Sieber/Chamberlain,
164023,5022,U5 Coed,,11/4/2023,10:30,11:30,454842,Robious Middle School 9C 3v3,132370,U5C Team Rich,,121207,U5C Team Dennis,
164024,5022,U5 Coed,,11/4/2023,11:30,12:30,454842,Robious Middle School 9C 3v3,121223,U5C Team Marsh,,130721,U5C Team Cosby/Pearson,
164025,5022,U5 Coed,,11/4/2023,13:30,14:30,454842,Robious Middle School 9C 3v3,133783,U5C Team Leach,,139999,U5C Dubay Friday 5:30,
164026,4281,U6 Coed,,9/9/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,121386,U6C Team Endy Monday 5:30 R8D,,130470,U6C Team Fairclough,
164027,4281,U6 Coed,,9/9/2023,10:30,11:30,478675,Horner Park 8 A 3v3,123789,U5U6C SOUTH Team Loughrey,,130085,U5U6C SOUTH Team Roque/Halpin,
164028,4281,U6 Coed,,9/9/2023,13:30,14:30,454843,Robious Middle School 9D 3v3,131677,U6C Team Edwards Friday 5:30 R8C,,133771,U6C Team Montoya,
164029,4281,U6 Coed,,9/9/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,132740,U6C Team Bowman Friday 5:30 R8A,,121385,U6C Team Marano/Chamberlain,
164030,4281,U6 Coed,,9/9/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,136649,U6C Team Innes,,133770,U6C Team Hall,
164031,4281,U6 Coed,,9/9/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,122529,U6C Team Gallagher,,129425,U6C Team Ellmore Wednesday 5:30 8B,
